Species,Lat,Lon
ONPI,32.089299040000000,-110.702953899999997
ONPI,32.322479940000001,-111.370526600000005
ONPI,32.317290000000000,-111.434810001000002
ONPI,32.193157470000003,-110.865325600000006
ONPI,32.408242999999999,-111.329301999999998
ONPI,32.368185519999997,-111.059908699999994
ONPI,32.279718549999998,-110.950386499999993
ONPI,32.313566270000003,-111.037317500000000
ONPI,32.161451720000002,-110.841071900000003
ONPI,32.431706349999999,-111.307890900000004
ONPI,32.315322500000001,-110.967930100000004
ONPI,32.487071530000001,-110.907826000000000
ONPI,32.300868829999999,-111.095246799999998
ONPI,32.393478100000003,-111.275157199999995
ONPI,32.157809290000003,-110.973036399999998
ONPI,32.367410999999997,-110.992892999999995
ONPI,32.380066999999997,-111.106442000000001
ONPI,31.958212759999999,-110.838999799999996
ONPI,32.315654000000002,-110.852242000000004
ONPI,32.257959999999997,-111.149522000000005
ONPI,32.244128390000000,-111.004579699999994
ONPI,32.323977169999999,-111.311891000000003
ONPI,32.461169210000001,-111.217883700000002
ONPI,32.455300289999997,-111.204307600000007
ONPI,32.254530000000003,-110.822957000000002
ONPI,32.232439489999997,-110.987844899999999
ONPI,32.244783949999999,-110.787169100000000
ONPI,32.143799999999999,-110.986254000000002
ONPI,32.345023140000002,-111.294314200000002
ONPI,32.411489639999999,-111.028258699999995
ONPI,32.324920779999999,-111.143052699999998
ONPI,32.273629860000000,-111.093249900000004
ONPI,32.108139999999999,-111.088530000000006
ONPI,32.136470780000003,-110.759611500000005
ONPI,32.370908219999997,-111.025259000000005
ONPI,31.976980869999998,-110.818906100000007
ONPI,32.426268239999999,-110.916871200000003
ONPI,32.372178980000001,-112.862710000000007
ONPI,32.426272910000002,-110.916613400000003
ONPI,32.094776660000001,-110.785722200999999
ONPI,32.388179999999998,-110.995022000000006
ONPI,32.161460750000003,-111.035123999999996
ONPI,32.308539000000003,-110.922117000000000
ONPI,32.225775890000001,-110.781857700000003
ONPI,32.228001999999996,-111.010413000000000
ONPI,32.203848170000001,-110.868038299999995
ONPI,32.279323400000003,-110.957702200000000
ONPI,32.233832339999999,-110.917410399999994
ONPI,32.327706769999999,-111.216800500000005
ONPI,32.238309389999998,-110.822727200000003
ONPI,32.000528000000003,-110.700920999999994
ONPI,32.278585159999999,-110.886411199999998
ONPI,32.288541649999999,-110.839215999999993
ONPI,31.576525197999999,-111.330930696999999
ONPI,31.604888661000000,-111.376947301000001
ONPI,31.623559520000001,-111.419984025999995
ONPI,32.085606781000003,-111.291390935999999
ONPI,32.023881058000001,-112.801680903000005
ONPI,31.991642476999999,-112.805749019999993
ONPI,31.884004441999998,-112.815343831999996
ONPI,31.883715461000001,-112.814999872000001
ONPI,31.923484232000000,-112.958420255999997
ONPI,31.928018131999998,-112.968016569000000
ONPI,32.380284439000000,-112.866636068000005
ONPI,32.408362863000001,-112.871796955999997
ONPI,32.485415445000001,-112.880319850999996
ONPI,31.956329006699999,-110.769412446999993
ONPI,31.958300104999999,-110.771157689999995
ONPI,31.963359947299999,-110.789405017999997
